file_name,content_type,file_size_bytes,label
urgent_document_copy.xls.apk,application/vnd.android.package-archive,77653133,1
courier_new.iso,application/x-iso9660-image,1967905078,1
meeting_notes_copy.mp4,video/mp4,288449917,0
project_plan_copy.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4486861,0
team_directory_new.jpg,image/jpeg,11321636,0
team_directory_2026.jpeg,image/jpeg,10113682,0
salary_2026.xls.zip,application/zip,7009325,1
data_export_new.jpg,image/jpeg,12892880,0
lecture_notes_final.jpg,image/jpeg,6298493,0
resume_new.vbs,text/plain,10436,1
profile_picture_copy.py,text/x-python,205700,0
family_video.json,application/json,91635,0
lecture_notes_2026.txt,text/plain,1382232,0
scan_copy_new.jpg.jar,application/java-archive,7870537,1
lecture_notes_new.java,text/x-java-source,785612,0
remittance_review.apk,application/vnd.android.package-archive,55149397,1
wire_transfer_copy.apk,application/vnd.android.package-archive,10169177,1
bank_notice_secure.dll,application/x-msdownload,1804055,1
meeting_notes_copy.json,application/json,452579,0
product_specs_secure.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,24128395,0
profile_picture.pdf,application/pdf,25012345,0
product_specs_copy.mp3,audio/mpeg,9580778,0
profile_picture_2026.json,application/json,1595105,0
wire_transfer_2026.jpg.hta,application/hta,35325,1
statement.apk,application/vnd.android.package-archive,78258924,1
travel_itinerary.json,application/json,803872,0
team_directory_copy.html,text/html,62480,0
security_patch_review.scr,application/x-msdownload,2955903,1
urgent_document_review.txt.js,application/javascript,3930,1
urgent_document_final.scr,application/x-msdownload,3337576,1
report_final_2026.png,image/png,2690273,0
scan_copy_new.bat,application/x-bat,19193,1
resume_copy.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,2272382,1
budget_2026_copy.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,10121356,0
meeting_notes_2026.jpeg,image/jpeg,15505646,0
account_update_copy.js,application/javascript,70093,1
roadmap_2026.txt,text/plain,362766,0
release_notes_new.mp4,video/mp4,173142830,0
invoice.doc.lnk,application/x-ms-shortcut,2250,1
roadmap_new.csv,text/csv,1471965,0
scan_copy_2026.exe,application/x-msdownload,3605005,1
lecture_notes.json,application/json,893455,0
product_specs_final.json,application/json,216141,0
resume_final.txt.lnk,application/x-ms-shortcut,7632,1
family_video_secure.java,text/x-java-source,801134,0
urgent_document_final.docm,application/vnd.ms-word.document.macroEnabled.12,2434320,1
lecture_notes_final.csv,text/csv,6096243,0
statement_copy.png.zip,application/zip,4448976,1
salary_2026.doc.cmd,application/x-bat,14674,1
release_notes_2026.txt,text/plain,1218275,0
security_patch_2026.vbs,text/plain,29105,1
design_mockup_final.java,text/x-java-source,1106272,0
statement.jar,application/java-archive,10065251,1
security_patch_copy.iso,application/x-iso9660-image,1075867958,1
courier_secure.vbs,text/plain,12004,1
remittance.vbs,text/plain,1434,1
lecture_notes_final.pdf,application/pdf,12420930,0
lecture_notes_final.mp3,audio/mpeg,13265064,0
family_video.py,text/x-python,135913,0
payment_review.lnk,application/x-ms-shortcut,3610,1
salary_review.doc.apk,application/vnd.android.package-archive,25771581,1
release_notes_2026.mp4,video/mp4,189398135,0
remittance.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,1024657,1
payment_new.dll,application/x-msdownload,635899,1
account_update_copy.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,661609,1
family_video_secure.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6264344,0
urgent_document_review.ps1,text/plain,4825,1
scan_copy_review.msi,application/x-msi,10701123,1
courier_final.docm,application/vnd.ms-word.document.macroEnabled.12,264089,1
verification_final.hta,application/hta,16494,1
product_specs_secure.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,10394985,0
report_final_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3483733,0
resume_new.iso,application/x-iso9660-image,1682820191,1
report_final_final.jpg,image/jpeg,2686486,0
roadmap_new.txt,text/plain,1352942,0
invoice_copy.exe,application/x-msdownload,4864854,1
account_update_final.js,application/javascript,14802,1
data_export_2026.txt,text/plain,632032,0
courier.cmd,application/x-bat,15036,1
security_patch_new.jar,application/java-archive,9694329,1
lecture_notes_new.jpg,image/jpeg,13735486,0
statement_secure.apk,application/vnd.android.package-archive,112401823,1
travel_itinerary_review.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,4703629,0
project_plan_2026.py,text/x-python,272492,0
wire_transfer.scr,application/x-msdownload,2425412,1
profile_picture.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4414321,0
report_final.json,application/json,877798,0
courier_final.docm,application/vnd.ms-word.document.macroEnabled.12,2081447,1
scan_copy_secure.pdf.js,application/javascript,71670,1
holiday_photo_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3266980,0
release_notes_secure.java,text/x-java-source,681385,0
account_update_copy.doc.exe,application/x-msdownload,722374,1
remittance_new.bat,application/x-bat,21669,1
release_notes_final.py,text/x-python,784110,0
budget_2026_secure.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1501511,0
team_directory_review.py,text/x-python,333993,0
data_export_copy.jpg,image/jpeg,15451952,0
meeting_notes_new.mp4,video/mp4,232653012,0
bank_notice.xls.exe,application/x-msdownload,2144301,1
account_update_review.scr,application/x-msdownload,2440195,1
wire_transfer_new.msi,application/x-msi,4163700,1
payment_secure.scr,application/x-msdownload,405696,1
product_specs_2026.jpeg,image/jpeg,8391444,0
roadmap_final.mp4,video/mp4,76124787,0
bank_notice_secure.vbs,text/plain,10391,1
verification_final.lnk,application/x-ms-shortcut,3613,1
product_specs_copy.txt,text/plain,266850,0
reset_2026.pdf.bat,application/x-bat,24037,1
reset_final.doc.docm,application/vnd.ms-word.document.macroEnabled.12,700280,1
salary_secure.bat,application/x-bat,22021,1
team_directory_review.py,text/x-python,700037,0
statement_review.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,2379601,1
bank_notice_secure.dll,application/x-msdownload,1165522,1
lecture_notes_copy.png,image/png,10365289,0
profile_picture_copy.png,image/png,5991124,0
wire_transfer_new.png.msi,application/x-msi,2064617,1
release_notes_review.py,text/x-python,706948,0
roadmap_review.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4799654,0
product_specs_review.csv,text/csv,8874233,0
statement_copy.cmd,application/x-bat,7598,1
security_patch_new.msi,application/x-msi,20349950,1
team_directory_secure.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4559907,0
travel_itinerary_copy.png,image/png,10221529,0
account_update.exe,application/x-msdownload,4868783,1
invoice_2026.iso,application/x-iso9660-image,2006146197,1
reset_2026.txt.js,application/javascript,62464,1
data_export_review.jpg,image/jpeg,15960375,0
budget_2026_new.jpg,image/jpeg,3738002,0
project_plan_2026.py,text/x-python,666160,0
courier_copy.doc.vbs,text/plain,29911,1
design_mockup_copy.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4842798,0
wire_transfer_review.lnk,application/x-ms-shortcut,4303,1
budget_2026_review.py,text/x-python,333804,0
bank_notice_review.lnk,application/x-ms-shortcut,3797,1
travel_itinerary_review.mp4,video/mp4,208627086,0
account_update.docm,application/vnd.ms-word.document.macroEnabled.12,1857894,1
roadmap_new.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6360028,0
scan_copy_final.cmd,application/x-bat,13117,1
invoice_final.jar,application/java-archive,6471381,1
holiday_photo.png,image/png,10594815,0
profile_picture_new.py,text/x-python,105187,0
statement_new.doc.dll,application/x-msdownload,1042820,1
account_update.msi,application/x-msi,13083257,1
profile_picture_copy.json,application/json,507251,0
invoice_new.vbs,text/plain,32124,1
resume_final.msi,application/x-msi,14715238,1
reset_2026.png.bat,application/x-bat,18983,1
holiday_photo_copy.txt,text/plain,1847591,0
report_final_2026.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4041884,0
holiday_photo_secure.pdf,application/pdf,24770482,0
family_video_review.html,text/html,546566,0
report_final_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2460823,0
profile_picture_copy.java,text/x-java-source,7655,0
reset_2026.apk,application/vnd.android.package-archive,88607967,1
holiday_photo.html,text/html,938855,0
family_video_secure.pdf,application/pdf,2434520,0
wire_transfer_2026.vbs,text/plain,8644,1
scan_copy_final.pdf.dll,application/x-msdownload,140137,1
data_export_2026.java,text/x-java-source,297339,0
salary.scr,application/x-msdownload,1666332,1
report_final_2026.py,text/x-python,421372,0
invoice_review.lnk,application/x-ms-shortcut,3625,1
team_directory_copy.csv,text/csv,9695324,0
wire_transfer_new.jpg.jar,application/java-archive,11339607,1
scan_copy_final.docm,application/vnd.ms-word.document.macroEnabled.12,836512,1
reset_copy.dll,application/x-msdownload,645241,1
data_export_final.java,text/x-java-source,264026,0
team_directory_secure.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,5273230,0
bank_notice_secure.ps1,text/plain,38786,1
verification.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,2762828,1
courier_review.msi,application/x-msi,21004412,1
bank_notice_2026.apk,application/vnd.android.package-archive,69159209,1
meeting_notes.py,text/x-python,132438,0
invoice_final.zip,application/zip,4925315,1
security_patch.doc.exe,application/x-msdownload,3423729,1
data_export_review.txt,text/plain,1162677,0
team_directory_new.py,text/x-python,466234,0
project_plan_2026.pdf,application/pdf,32935219,0
payment_new.jar,application/java-archive,8165271,1
lecture_notes_final.pdf,application/pdf,20238832,0
report_final_secure.json,application/json,223359,0
report_final_final.mp4,video/mp4,197638519,0
reset_review.cmd,application/x-bat,20793,1
roadmap_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4042082,0
scan_copy_new.jpg.dll,application/x-msdownload,363491,1
data_export_review.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,23210035,0
product_specs_2026.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,5014769,0
report_final.csv,text/csv,6095297,0
account_update_review.apk,application/vnd.android.package-archive,34580280,1
invoice_2026.txt.iso,application/x-iso9660-image,1818342007,1
report_final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1108913,0
project_plan_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3633674,0
holiday_photo_2026.png,image/png,1380974,0
security_patch_review.exe,application/x-msdownload,4179865,1
bank_notice.xls.lnk,application/x-ms-shortcut,3222,1
wire_transfer_secure.doc.vbs,text/plain,9271,1
statement_2026.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,422459,1
product_specs.json,application/json,1066580,0
bank_notice_final.jpg.cmd,application/x-bat,16803,1
travel_itinerary_new.mp3,audio/mpeg,12062339,0
urgent_document_secure.txt.vbs,text/plain,7381,1
bank_notice_review.js,application/javascript,3338,1
roadmap_copy.json,application/json,1482021,0
payment_2026.cmd,application/x-bat,29462,1
product_specs.mp4,video/mp4,250000489,0
account_update.doc.bat,application/x-bat,6945,1
reset_secure.doc.apk,application/vnd.android.package-archive,60733846,1
travel_itinerary_copy.jpg,image/jpeg,4955031,0
urgent_document_new.msi,application/x-msi,12245138,1
courier_copy.zip,application/zip,3446243,1
family_video.csv,text/csv,7825167,0
team_directory_final.jpg,image/jpeg,2523945,0
scan_copy.js,application/javascript,24983,1
product_specs_secure.jpg,image/jpeg,12187930,0
data_export_secure.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,7040416,0
family_video_copy.txt,text/plain,191667,0
data_export_new.json,application/json,1121035,0
resume_final.bat,application/x-bat,23372,1
roadmap_final.html,text/html,493433,0
lecture_notes_secure.txt,text/plain,801589,0
project_plan_secure.pdf,application/pdf,34130346,0
wire_transfer_secure.hta,application/hta,7568,1
lecture_notes_secure.jpg,image/jpeg,12024540,0
release_notes_review.jpg,image/jpeg,3909114,0
profile_picture_review.json,application/json,27225,0
team_directory_new.py,text/x-python,418570,0
meeting_notes_copy.png,image/png,11777498,0
courier_2026.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,2328257,1
lecture_notes_secure.txt,text/plain,331407,0
reset_secure.apk,application/vnd.android.package-archive,3318177,1
salary_review.js,application/javascript,60447,1
family_video_new.java,text/x-java-source,39398,0
reset.zip,application/zip,3783314,1
payment_copy.png.vbs,text/plain,12341,1
budget_2026_review.java,text/x-java-source,1048358,0
lecture_notes.mp4,video/mp4,58554204,0
account_update_final.jpg.msi,application/x-msi,16315139,1
travel_itinerary_secure.py,text/x-python,161073,0
profile_picture_new.txt,text/plain,783618,0
profile_picture_copy.mp3,audio/mpeg,408817,0
resume_copy.iso,application/x-iso9660-image,1171822983,1
remittance.docm,application/vnd.ms-word.document.macroEnabled.12,671515,1
reset_2026.docm,application/vnd.ms-word.document.macroEnabled.12,2179548,1
profile_picture_final.html,text/html,140706,0
remittance_new.cmd,application/x-bat,27379,1
profile_picture_new.mp4,video/mp4,292355985,0
meeting_notes_review.mp3,audio/mpeg,12162433,0
travel_itinerary_2026.html,text/html,364679,0
verification_2026.xls.jar,application/java-archive,6098232,1
salary_2026.docm,application/vnd.ms-word.document.macroEnabled.12,2347231,1
resume_secure.bat,application/x-bat,5081,1
resume.zip,application/zip,1627389,1
budget_2026_final.html,text/html,125692,0
bank_notice_copy.apk,application/vnd.android.package-archive,15196701,1
holiday_photo_secure.java,text/x-java-source,224146,0
remittance.iso,application/x-iso9660-image,3811010557,1
scan_copy_new.docm,application/vnd.ms-word.document.macroEnabled.12,3044717,1
bank_notice.xls.js,application/javascript,18782,1
report_final_copy.pdf,application/pdf,29267193,0
scan_copy_review.docm,application/vnd.ms-word.document.macroEnabled.12,1686270,1
remittance_review.jar,application/java-archive,4067972,1
team_directory_review.mp3,audio/mpeg,3814074,0
profile_picture_2026.json,application/json,1398750,0
data_export_copy.mp4,video/mp4,160275392,0
reset_secure.txt.zip,application/zip,2261693,1
product_specs.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2534371,0
product_specs_new.jpeg,image/jpeg,15313852,0
lecture_notes_copy.java,text/x-java-source,540869,0
resume_new.docm,application/vnd.ms-word.document.macroEnabled.12,3927603,1
resume_new.png.iso,application/x-iso9660-image,1371681350,1
salary.zip,application/zip,1516600,1
family_video_final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4200115,0
reset_final.txt.lnk,application/x-ms-shortcut,5613,1
meeting_notes_review.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1812843,0
travel_itinerary_review.mp3,audio/mpeg,75341,0
payment_review.exe,application/x-msdownload,4714935,1
statement.pdf.iso,application/x-iso9660-image,3500278757,1
report_final_new.py,text/x-python,770722,0
payment_secure.vbs,text/plain,2526,1
project_plan_review.png,image/png,7681707,0
wire_transfer_final.exe,application/x-msdownload,689029,1
courier_final.hta,application/hta,18350,1
statement_review.iso,application/x-iso9660-image,3235314893,1
remittance_new.msi,application/x-msi,15336095,1
scan_copy_review.docm,application/vnd.ms-word.document.macroEnabled.12,3253610,1
security_patch_review.docm,application/vnd.ms-word.document.macroEnabled.12,3934835,1
roadmap_review.json,application/json,1894237,0
travel_itinerary_2026.txt,text/plain,69814,0
wire_transfer_review.exe,application/x-msdownload,111518,1
team_directory_new.csv,text/csv,6400359,0
holiday_photo_2026.mp4,video/mp4,106803154,0
holiday_photo.mp3,audio/mpeg,11490643,0
report_final_review.java,text/x-java-source,342988,0
travel_itinerary_2026.csv,text/csv,3265253,0
reset_2026.doc.scr,application/x-msdownload,1283038,1
report_final_new.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1863426,0
resume_copy.bat,application/x-bat,6387,1
data_export_2026.jpeg,image/jpeg,9688542,0
release_notes_review.txt,text/plain,565160,0
roadmap_new.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,5040621,0
scan_copy_final.jar,application/java-archive,8555883,1
wire_transfer_final.docm,application/vnd.ms-word.document.macroEnabled.12,2293411,1
release_notes_secure.png,image/png,8751708,0
invoice_secure.msi,application/x-msi,14536256,1
account_update_review.png.hta,application/hta,14012,1
family_video.py,text/x-python,102229,0
meeting_notes_secure.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,4097723,0
holiday_photo_2026.java,text/x-java-source,487519,0
lecture_notes_copy.jpeg,image/jpeg,9263827,0
reset.cmd,application/x-bat,13601,1
resume.exe,application/x-msdownload,3783556,1
report_final_copy.jpg,image/jpeg,13315020,0
wire_transfer_secure.vbs,text/plain,24958,1
statement_copy.lnk,application/x-ms-shortcut,4329,1
data_export_2026.jpeg,image/jpeg,2061260,0
profile_picture_2026.csv,text/csv,7932281,0
family_video_review.mp4,video/mp4,90587554,0
product_specs.pdf,application/pdf,23635497,0
project_plan.txt,text/plain,1220354,0
lecture_notes_2026.java,text/x-java-source,153472,0
security_patch.png.scr,application/x-msdownload,1785278,1
remittance_secure.bat,application/x-bat,29989,1
family_video_copy.mp4,video/mp4,232189264,0
invoice_new.lnk,application/x-ms-shortcut,5032,1
verification_copy.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,2460600,1
report_final_new.java,text/x-java-source,1033336,0
family_video_2026.mp4,video/mp4,249829513,0
travel_itinerary_copy.png,image/png,9232672,0
data_export_review.html,text/html,673930,0
statement_review.xlsm,application/vnd.ms-excel.sheet.macroEnabled.12,800425,1
scan_copy_review.xls.exe,application/x-msdownload,1927143,1
scan_copy_final.pdf.msi,application/x-msi,3052015,1
profile_picture_review.mp3,audio/mpeg,12278059,0
report_final_review.json,application/json,995858,0
resume_copy.js,application/javascript,67266,1
lecture_notes_review.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,19865429,0
lecture_notes.java,text/x-java-source,430219,0
release_notes.jpeg,image/jpeg,1802352,0
budget_2026_2026.mp3,audio/mpeg,4919106,0
security_patch_review.dll,application/x-msdownload,1432706,1
salary_2026.apk,application/vnd.android.package-archive,39430602,1
roadmap.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,20844082,0
roadmap_new.pdf,application/pdf,27927499,0
lecture_notes_secure.java,text/x-java-source,822766,0
data_export.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2518718,0
team_directory_2026.mp3,audio/mpeg,6815109,0
invoice_secure.msi,application/x-msi,13758608,1
remittance.xls.docm,application/vnd.ms-word.document.macroEnabled.12,789353,1
family_video_new.py,text/x-python,743005,0
project_plan_copy.png,image/png,1206851,0
reset.txt.cmd,application/x-bat,11569,1
product_specs_final.csv,text/csv,7067075,0
report_final_new.csv,text/csv,2161187,0
report_final.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,24546,0
lecture_notes_secure.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,870148,0
reset_review.cmd,application/x-bat,8896,1
urgent_document_review.bat,application/x-bat,12670,1
statement_secure.exe,application/x-msdownload,3750737,1
statement_final.iso,application/x-iso9660-image,873880927,1
profile_picture_copy.mp4,video/mp4,3612182,0
salary.bat,application/x-bat,18608,1
release_notes.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,808234,0
travel_itinerary_2026.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,12496983,0
account_update_2026.vbs,text/plain,25217,1
verification_secure.doc.cmd,application/x-bat,22187,1
budget_2026_secure.java,text/x-java-source,166329,0
reset_final.png.jar,application/java-archive,9518767,1
team_directory_copy.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6852718,0
meeting_notes_new.py,text/x-python,102344,0
urgent_document_new.ps1,text/plain,24343,1
budget_2026_2026.mp3,audio/mpeg,6518591,0
profile_picture_secure.csv,text/csv,353122,0
